id;street_address;postal_code;city;state_province
1;oh;boo out;Junebury;wick what
2;until stark horizon;miserably;Lake Cordellstad;whenever selfishly
3;case clearly;bully;Trentonport;meh to
4;than with terrible;unnatural;New Alexander;before
5;despite terrible;reignite happily;Botsfordstead;mmm symbol huzzah
6;oh;always whether;South Dino;barring yuck because
7;yowza ew;primary once;Fort Devynland;gah mandate
8;pish motherly;where;Turlock;hence
9;kitsch;phooey;Palm Harbor;suburb slim
10;yard;why wherever;Buffalo Grove;boo zowie truly
